epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1008,1.07896,3.32446,1.13286,0.03196,0.29835,0.13414,0.10821,0.86794,3.45707,0.8989,0.0001375,0.0001375,0.0001375
2,105.844,1.05566,1.9259,1.04991,0.96914,0.11862,0.23895,0.19581,0.97592,2.8175,0.8978,0.000284654,0.000284654,0.000284654
3,158.144,1.06991,1.51822,1.05381,0.97768,0.11121,0.23465,0.19076,0.98636,2.76417,0.92543,0.000428838,0.000428838,0.000428838
4,208.67,1.07043,1.44546,1.0784,0.99157,0.07313,0.26417,0.17311,1.16201,2.95661,1.04738,0.000570051,0.000570051,0.000570051
5,259.773,1.0498,1.27158,1.02916,0.97957,0.14434,0.4648,0.32032,1.07732,2.56259,0.9995,0.000708295,0.000708295,0.000708295
6,309.266,1.04305,1.21748,1.06576,0.95316,0.2111,0.48555,0.30892,1.09369,2.25732,1.01771,0.000843569,0.000843569,0.000843569
