epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5681.48,0.92653,0.51359,0.93909,0.90992,0.93383,0.9711,0.71707,0.99233,0.51673,0.96394,0.0011882,0.0011882,0.0011882
43,5824.6,0.92871,0.49823,0.93379,0.91627,0.91889,0.96257,0.71713,0.97161,0.51774,0.95769,0.0011684,0.0011684,0.0011684
44,5956.59,0.90414,0.49082,0.9294,0.91568,0.90401,0.96412,0.7165,0.99399,0.52661,0.96362,0.0011486,0.0011486,0.0011486
45,6086.94,0.92487,0.50803,0.9366,0.91728,0.92636,0.96853,0.70636,1.00574,0.53768,0.96813,0.0011288,0.0011288,0.0011288
46,6224.2,0.91356,0.49953,0.92482,0.91721,0.90928,0.95166,0.71037,0.98877,0.53001,0.95522,0.001109,0.001109,0.001109
47,6364.29,0.90797,0.49376,0.92245,0.91409,0.92636,0.9691,0.71445,0.97151,0.52086,0.95431,0.0010892,0.0010892,0.0010892
48,6494.49,0.92553,0.49916,0.93252,0.90687,0.93537,0.96655,0.71462,0.97723,0.51896,0.95976,0.0010694,0.0010694,0.0010694
49,6627.17,0.90879,0.49935,0.93562,0.91083,0.89434,0.96572,0.71718,0.9998,0.52394,0.96743,0.0010496,0.0010496,0.0010496
50,6760.78,0.90617,0.48595,0.93044,0.92674,0.92529,0.9727,0.73009,0.97667,0.49294,0.95649,0.0010298,0.0010298,0.0010298
51,6896.36,0.90821,0.49525,0.92681,0.90228,0.93616,0.96918,0.70996,0.98194,0.52636,0.9612,0.00101,0.00101,0.00101
52,7021.67,0.90948,0.49534,0.92694,0.91537,0.91189,0.96769,0.71191,0.9866,0.50852,0.96144,0.0009902,0.0009902,0.0009902
53,7144.1,0.91424,0.49151,0.92755,0.92456,0.9285,0.97328,0.72102,0.99584,0.50077,0.96334,0.0009704,0.0009704,0.0009704
54,7274.79,0.8989,0.48449,0.92226,0.91283,0.92759,0.96994,0.71542,0.991,0.50932,0.96166,0.0009506,0.0009506,0.0009506
55,7400.12,0.87284,0.46778,0.91613,0.88903,0.93195,0.96519,0.71717,0.97871,0.5176,0.95965,0.0009308,0.0009308,0.0009308
56,7528.81,0.87378,0.46753,0.91786,0.91394,0.91807,0.97005,0.71546,0.99656,0.51454,0.965,0.000911,0.000911,0.000911
57,7658.9,0.88584,0.47567,0.92478,0.92177,0.91792,0.96836,0.72282,0.99219,0.49429,0.96213,0.0008912,0.0008912,0.0008912
58,7787.25,0.88625,0.46266,0.9216,0.92464,0.89861,0.96695,0.71487,0.99603,0.50799,0.96362,0.0008714,0.0008714,0.0008714
59,7915.71,0.87286,0.46011,0.91796,0.92706,0.92244,0.97162,0.72327,0.99002,0.49049,0.96184,0.0008516,0.0008516,0.0008516
60,8044.33,0.89065,0.46615,0.91637,0.92531,0.91035,0.96731,0.72915,0.9825,0.49491,0.95861,0.0008318,0.0008318,0.0008318
61,8172.61,0.86987,0.4616,0.91823,0.90807,0.93703,0.96907,0.73306,0.96948,0.48233,0.95379,0.000812,0.000812,0.000812
62,8300.98,0.87234,0.46556,0.91454,0.93495,0.905,0.96624,0.72626,0.98089,0.48297,0.95611,0.0007922,0.0007922,0.0007922
